CERT,NAME,CITY,STALP,ASSET
57244,Cedar Rapids Bank and Trust Company,Cedar Rapids,IA,2866781
24387,"Industrial and Commercial Bank of China USA, National Association",New York,NY,2864973
34656,American First National Bank,Houston,TX,2864702
11868,The Fidelity Deposit and Discount Bank,Dunmore,PA,2859364
19573,Lakeside Bank,Chicago,IL,2858811
7900,"NEXTIER BANK, NATIONAL ASSOCIATION",Kittanning,PA,2853576
57369,U. S. Century Bank,Doral,FL,2842514
58309,American Momentum Bank,College Station,TX,2826945
18012,Bank of New Hampshire,Laconia,NH,2811973
1528,Southern Bancorp Bank,Arkadelphia,AR,2810125
90215,Avidia Bank,Hudson,MA,2802372
16470,Jefferson Bank,San Antonio,TX,2794851
10363,Citizens and Farmers Bank,West Point,VA,2790564
22957,West Texas National Bank,Midland,TX,2781577
4789,Emprise Bank,Wichita,KS,2773623
18198,Ion Bank,Naugatuck,CT,2769160
27074,State Bank of Texas,Irving,TX,2764700
90300,Westfield Bank,Westfield,MA,2761354
597,Chemung Canal Trust Company,Elmira,NY,2748374
18561,"Sunrise Banks, National Association",Sioux Falls,SD,2734177
29683,Home Federal Bank of Tennessee,Knoxville,TN,2730496
2315,Armstrong Bank,Muskogee,OK,2712746
20231,Pinnacle Bank,Fort Worth,TX,2712157
5146,"Wells Fargo Bank South Central, National Association",Houston,TX,2700336
57944,Open Bank,Los Angeles,CA,2699382
12944,Orange Bank & Trust Company,Middletown,NY,2697498
58291,CalPrivate Bank,La Jolla,CA,2693463
5744,"State Bank of the Lakes, National Association",Antioch,IL,2689580
8235,Planters Bank & Trust Company,Indianola,MS,2688272
8283,Lead Bank,Kansas City,MO,2680831
57071,Georgia Banking Company,Atlanta,GA,2675774
58057,Tradition Capital Bank,Wayzata,MN,2675658
17964,State Bank of Southern Utah,Cedar City,UT,2669355
24516,Interaudi Bank,New York,NY,2661080
57701,"Beverly Bank & Trust Company, National Association",Chicago,IL,2658605
57449,Medallion Bank,Salt Lake City,UT,2651012
19531,Machias Savings Bank,Machias,ME,2648458
5496,Cornerstone Bank,York,NE,2646823
57716,United Business Bank,Walnut Creek,CA,2632362
12517,Bank Five Nine,Oconomowoc,WI,2609889
33005,FCB Banks,Collinsville,IL,2607581
34404,WebBank,Salt Lake City,UT,2592134
28679,North Shore Bank,Brookfield,WI,2590607
19899,KS StateBank,Manhattan,KS,2586584
9123,Western State Bank,Devils Lake,ND,2585304
14382,Fidelity Bank & Trust,Dubuque,IA,2582570
24897,Community National Bank,Midland,TX,2578510
33111,Colorado Federal Savings Bank,Greenwood Village,CO,2577832
23620,Dedham Institution for Savings,Dedham,MA,2576353
57777,Meridian Bank,Wayne,PA,2575135
57510,Avidbank,San Jose,CA,2572193
90303,South Shore Bank,South Weymouth,MA,2556320
3887,First National Bank,Paragould,AR,2554094
22334,One Community Bank,Oregon,WI,2545338
3664,"INB, National Association",Springfield,IL,2542843
19333,Republic Bank of Chicago,Oak Brook,IL,2539080
958,United Bank of Iowa,Ida Grove,IA,2533545
